abelia,fl,nc
abelia x grandiflora,fl,nc
abelmoschus esculentus,ct,dc,fl,il,ky,la,md,mi,ms,nc,sc,va,pr,vi
chrysanthemum arcticum ssp. arcticum,ak,bc
chrysanthemum arcticum ssp. polare,ak,ma,ny,mb,nt,nu,on,qc,yt
chrysanthemum Ṫmorifolium,ca,ma,oh,pa
chrysobalanus icaco,fl,pr,vi
chrysogonum,al,dc,fl,ga,ky,la,md,ms,ny,nc,oh,pa,sc,tn,va,wv
chrysogonum virginianum,al,dc,fl,ga,ky,la,md,ms,ny,nc,oh,pa,sc,tn,va,wv
chrysogonum virginianum var. australe,al,fl,ga,la,ms
chrysogonum virginianum var. brevistolon,al,ga,ky,nc,sc,tn
chrysogonum virginianum var. virginianum,dc,md,ny,nc,oh,pa,sc,va,wv
chrysolepis chrysophylla var. chrysophylla,ca,or,wa
chrysolepis chrysophylla var. minor,ca,or
chrysophyllum,fl,hi,pr,vi
chrysophyllum argenteum,pr,vi
chrysophyllum cainito,pr,vi
chrysophyllum oliviforme,fl,hi,pr
chrysophyllum pauciflorum,pr,vi
chrysopogon,fl,hi,nc,tx
chrysopogon aciculatus,hi
chrysopogon fulvus,fl
chrysopogon pauciflorus,fl,nc,tx
chrysopsis floridana,fl
chrysopsis godfreyi,al,fl
chrysopsis gossypina,al,fl,ga,la,ms,nc,sc,va
chrysopsis gossypina ssp. hyssopifolia,al,fl,la,ms
chrysopsis lanuginosa,fl
chrysopsis latisquamea,fl
chrysopsis linearifolia ssp. dressii,fl
chrysopsis mariana,al,de,dc,fl,ga,ky,la,md,ms,nj,ny,nc,oh,pa,ri,sc,tn,tx,va,wv
chrysopsis pilosa,al,ar,fl,ga,ks,ky,la,ms,mo,nc,ok,sc,tn,tx,va
chrysopsis scabrella,al,fl,ms,nc,sc
chrysopsis subulata,fl
chrysopsis texana,la,tx
chrysosplenium,al,ak,ca,co,ct,de,dc,ga,id,il,in,ia,ky,me,md,ma,mi,mn,mt,nh,nj,ny,nc,oh,or,pa,ri,sc,tn,vt,va,wa,wv,wi,ab,bc,lb,mb,nb,nt,ns,nu,on,pe,qc,sk,yt,gl
chrysosplenium alternifolium,ia,mn,ab,bc,mb,sk
chrysosplenium alternifolium var. sibiricum,ia,mn,ab,bc,mb,sk
chrysosplenium americanum,al,ct,de,dc,ga,il,in,ia,ky,me,md,ma,mi,mn,nh,nj,ny,nc,oh,pa,ri,sc,tn,vt,va,wv,wi,mb,nb,ns,on,pe,qc
chrysosplenium tetrandrum,ak,co,id,mt,wa,ab,bc,lb,mb,nt,nu,on,qc,sk,yt,gl
chrysosplenium wrightii,ak,bc,nt,yt
chrysosplenium wrightii var. beringianum,ak,nt,yt
chrysosplenium wrightii var. wrightii,ak,bc
chrysothamnus albidus,ca,nv,ut
chrysothamnus baileyi,az,co,ks,nm,ok,tx,ut
chrysothamnus eremobius,nv
chrysothamnus gramineus,ca,nv
chrysothamnus greenei,az,ca,co,nv,nm,ut,wy
chrysothamnus humilis,ca,id,nv,or,wa
chrysothamnus linifolius,az,co,mt,nm,ut,wy
chrysothamnus molestus,az
chrysothamnus spathulatus,nm,tx
chrysothamnus viscidiflorus,az,ca,co,id,mt,ne,nv,nm,or,ut,wa,wy,bc
chrysothamnus viscidiflorus ssp. axillaris,az,ca,co,nv,ut
chrysothamnus viscidiflorus ssp. viscidiflorus var. latifolius,ca,co,id,nv,ut
chrysothamnus viscidiflorus ssp. viscidiflorus var. viscidiflorus,az,ca,co,id,mt,ne,nv,nm,or,ut,wa,wy
chrysothemis,pr
chrysothemis pulchella,pr
chusquea,pr
cibotium,hi
cibotium chamissoi,hi
cibotium Ṫheleniae,hi
cibotium menziesii,hi
cibotium nealiae,hi
cicendia,ca,or
cicendia quadrangularis,ca,or
cicer,al,ct,id,ks,md,ma,nh,ny,or,vt,wa,wi,pr,mb,on,sk
cicer arietinum,al,ct,id,ks,md,ma,nh,ny,or,vt,wa,wi,pr,mb,on,sk
cichorium,al,az,ar,ca,co,ct,de,dc,fl,ga,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nh,nj,nm,ny,nc,nd,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,vt,va,wa,wv,wi,wy,ab,bc,lb,mb,nb,nf,ns,on,pe,qc,sk,fraspm
cichorium endivia,ca,ct,me,mi,or,pa,wa
cicuta,al,ak,az,ar,ca,co,ct,de,dc,fl,ga,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nh,nj,nm,ny,nc,nd,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,vt,va,wa,wv,wi,wy,ab,bc,lb,mb,nb,nf,nt,ns,nu,on,pe,qc,sk,yt
cicuta bulbifera,ak,ct,de,fl,id,il,in,ia,ks,ky,me,md,ma,mi,mn,mt,ne,nh,nj,ny,nc,nd,oh,or,pa,ri,sd,vt,va,wa,wv,wi,wy,ab,bc,lb,mb,nb,nf,nt,ns,nu,on,pe,qc,sk,yt
cicuta maculata,al,ak,az,ar,ca,co,ct,de,dc,fl,ga,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nh,nj,nm,ny,nc,nd,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,vt,va,wa,wv,wi,wy,ab,bc,mb,nb,nt,ns,on,pe,qc,sk,yt
cicuta maculata var. angustifolia,ak,az,ar,ca,co,id,ia,ks,mn,mt,ne,nv,nm,nd,ok,or,sd,tx,ut,wa,wi,wy,ab,bc,mb,nt,on,qc,sk,yt
cicuta maculata var. bolanderi,al,az,ar,ca,ga,il,in,ia,ks,la,mn,ms,mo,ne,nm,nc,ok,tn,tx,wa,wi
cicuta maculata var. maculata,al,az,ar,ca,co,ct,de,dc,fl,ga,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,ne,nh,nj,ny,nc,nd,oh,ok,pa,ri,sc,sd,tn,tx,vt,va,wa,wv,wi,bc,mb,nb,ns,on,pe,qc,sk
cienfuegosia,fl,tx,vi
cienfuegosia drummondii,tx
cienfuegosia heterophylla,vi
cinchona,hi
cinchona pubescens,hi
cinna bolanderi,ca
cinna latifolia,ak,az,ca,co,ct,id,il,in,ky,me,md,ma,mi,mn,mt,nv,nh,nj,nm,ny,nc,nd,oh,or,pa,sc,sd,tn,ut,vt,va,wa,wv,wi,wy,ab,bc,lb,mb,nb,nf,nt,ns,on,pe,qc,sk,yt,fraspm
cinnamomum burmannii,hi
cinnamomum camphora,al,ca,fl,ga,hi,la,ms,nc,sc,tx,pr,vi
cinnamomum elongatum,pr,vi
cinnamomum montanum,pr
cinnamomum verum,hi,pr,vi
circaea,al,ak,az,ar,ca,co,ct,de,dc,ga,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nh,nj,nm,ny,nc,nd,oh,ok,or,pa,ri,sc,sd,tn,ut,vt,va,wa,wv,wi,wy,ab,bc,lb,mb,nb,nf,nt,ns,on,pe,qc,sk,yt,fraspm
circaea alpina,ak,az,ca,co,ct,dc,id,il,in,ia,ky,me,md,ma,mi,mn,mt,nv,nh,nj,nm,ny,nc,nd,oh,or,pa,ri,sd,tn,ut,vt,va,wa,wv,wi,wy,ab,bc,lb,mb,nb,nf,nt,ns,on,pe,qc,sk,yt,fraspm
circaea alpina ssp. alpina,ak,az,co,ct,dc,id,il,in,ia,ky,me,md,ma,mi,mn,mt,nh,nj,nm,ny,nc,nd,oh,or,pa,ri,sd,tn,vt,va,wa,wv,wi,wy,ab,bc,lb,mb,nb,nf,nt,ns,on,pe,qc,sk,yt,fraspm
circaea lutetiana,al,ar,ct,de,dc,ga,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,ne,nh,nj,ny,nc,nd,oh,ok,pa,ri,sc,sd,tn,vt,va,wv,wi,wy,mb,nb,ns,on,pe,qc
circaea lutetiana ssp. canadensis,al,ar,ct,de,dc,ga,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,ne,nh,nj,ny,nc,nd,oh,ok,pa,ri,sc,sd,tn,vt,va,wv,wi,wy,mb,nb,ns,on,pe,qc
cirsium altissimum,al,ar,ct,de,dc,fl,ga,il,in,ia,ks,ky,la,md,ma,mi,mn,ms,mo,ne,nj,ny,nc,nd,oh,ok,pa,sc,sd,tn,tx,va,wv,wi
cirsium andersonii,ca,nv,or
cirsium andrewsii,ca
cirsium araneans,co
cirsium aridum,wy
cirsium barnebyi,co,ut,wy
cirsium brevifolium,id,or,wa
cirsium calcareum,co,nm,ut
cirsium canum,ma
cirsium carolinianum,al,ar,ga,il,in,ky,la,ms,mo,nc,oh,ok,sc,tn,tx,va
cirsium centaureae,co,ut,wy
cirsium chellyense,az
cirsium chuskaense,az,nm
cirsium ciliolatum,ca,or
cirsium clavatum,co,ut
cirsium discolor,al,ar,ct,de,dc,ga,il,in,ia,ky,la,me,md,ma,mi,mn,ms,mo,nh,nj,ny,nc,nd,oh,pa,ri,sc,sd,tn,vt,va,wv,wi,mb,on,qc,sk
cirsium douglasii,ca,nv,or
cirsium douglasii var. breweri,ca,nv,or
cirsium douglasii var. douglasii,ca
cirsium drummondii,sd,wy,ab,bc,mb,nt,on,sk
cirsium eatonii,co,id,mt,nv,ut,wy
cirsium edule,ak,id,or,wa,bc
cirsium engelmannii,ar,la,ok,tx
cirsium flodmanii,co,id,ia,ks,mi,mn,mt,ne,nd,sd,ut,vt,wi,wy,ab,mb,on,qc,sk
cirsium fontinale var. campylon,ca
cirsium fontinale var. fontinale,ca
cirsium grahamii,az,nm
cirsium helenioides,gl
cirsium hillii,il,in,ia,mi,mn,pa,wi,on
cirsium hookerianum,id,mt,wa,wy,ab,bc
cirsium horridulum,al,ar,ct,de,fl,ga,la,me,md,ma,ms,nh,nj,ny,nc,ok,pa,ri,sc,tn,tx,va
cirsium horridulum var. horridulum,al,ar,ct,de,fl,ga,la,me,md,ma,ms,nh,nj,ny,nc,ok,pa,ri,sc,tn,tx,va
cirsium hydrophilum,ca
cirsium hydrophilum var. hydrophilum,ca
cirsium hydrophilum var. vaseyi,ca
cirsium inornatum,nm
cirsium Ṫiowense,ar,ia,ks,la,mn,sd,tx,wi
cirsium laterifolium,co
cirsium longistylum,mt
cirsium mexicanum,pr
cirsium modestum,co
cirsium mohavense,az,ca,nv
cirsium muticum,al,ar,ct,de,fl,ga,il,in,ia,ky,la,me,md,ma,mi,mn,ms,mo,nh,nj,ny,nc,nd,oh,ok,pa,ri,sc,tn,tx,vt,va,wv,wi,lb,mb,nb,nf,ns,on,pe,qc,sk,fraspm
cirsium navajoense,az
cirsium neomexicanum,az,ca,co,nv,nm,ut
cirsium nuttallii,al,fl,ga,la,ms,sc,va
cirsium occidentale,ca,nv,or
cirsium ochrocentrum ssp. martinii,az,nm
cirsium ochrocentrum ssp. ochrocentrum,az,ca,co,ks,ne,nm,ok,sd,tx,ut,wi,wy
cirsium osterhoutii,co
cirsium ownbeyi,co,ut,wy
cirsium pallidum,co,nm
cirsium palustre,ma,mi,nh,ny,wi,bc,nf,ns,on,qc,fraspm
cirsium parryi ssp. parryi,az,co,nm
cirsium peckii,or
cirsium pulcherrimum,co,ne,ut,wy
cirsium pumilum,ct,de,dc,me,md,ma,nh,nj,ny,nc,oh,pa,ri,sc,vt,va,wv
cirsium pyrenaicum,or
cirsium quercetorum,ca
cirsium repandum,ga,nc,sc,va
cirsium rothrockii,az,ut
cirsium rydbergii,az,ut
cirsium scapanolepis,co
cirsium scariosum,az,ca,co,id,mt,nv,nm,or,ut,wa,wy,ab,bc,qc
cirsium turneri,tx
cirsium undulatum,az,ca,co,ga,id,il,in,ia,ks,mi,mn,mo,mt,ne,nv,nm,nd,ok,or,pa,sd,tx,ut,wa,wi,wy,ab,bc,mb,sk
cirsium Ṫvancouverense,bc
cirsium vernale,co
cirsium vinaceum,nm
cirsium virginense,az,nv,ut
cirsium virginianum,de,fl,ga,nj,nc,sc,va
cirsium wrightii,az,nm
cissampelos,fl,pr,vi
cissampelos pareira,fl,pr,vi
cissus,al,az,ar,ca,fl,ga,hi,ks,la,ms,mo,nm,ok,tx,pr,vi
cissus erosa,pr
cissus intermedia,pr
cissus obovata,pr,vi
cissus tuberculata,pr
cissus verticillata,fl,pr,vi
cistanthe,az,ca,co,id,mt,nv,nm,or,ut,wa,wy,bc
cistanthe monandra,az,ca,nv,nm,ut
cistanthe monosperma,ca,nv,or
cistanthe parryi,az,ca,nv,ut
cistanthe parryi var. hesseae,ca
cistanthe parryi var. nevadensis,ca,nv,ut
cistanthe pulchella,ca
cistanthe pygmaea,ca
cistanthe quadripetala,ca
cistanthe tweedyi,wa,bc
cistanthe umbellata,ca,co,id,mt,nv,or,ut,wa,wy,bc
cistanthe umbellata var. caudicifera,ca,co,id,mt,nv,or,ut,wa,wy,bc
cistanthe umbellata var. umbellata,ca,id,mt,nv,or,wa,bc
cistus,ca
cistus incanus,ca
cistus incanus ssp. corsicus,ca
cistus incanus ssp. incanus,ca
cistus ladanifer,ca
cistus salviifolius,ca
citharexylum,fl,hi,tx,pr,vi
citharexylum berlandieri,tx
citharexylum brachyanthum,tx
citharexylum caudatum,hi,pr
citharexylum Ṫperkinsii,pr
citrullus,al,az,ar,ca,ct,fl,ga,il,in,ks,ky,la,me,md,ma,mi,ms,mo,nv,nj,nm,ny,nc,oh,pa,ri,sc,tn,tx,ut,vt,va,wv,wi,pr,vi
citrullus lanatus,al,az,ar,ca,ct,fl,ga,il,in,ks,ky,la,me,md,ma,mi,ms,mo,nv,nj,nm,ny,nc,oh,pa,ri,sc,tn,tx,ut,vt,va,wv,wi,pr,vi
citrullus lanatus var. lanatus,al,az,ar,ca,ct,ga,il,in,ks,ky,la,me,md,ma,mi,ms,mo,nj,nm,ny,nc,oh,pa,ri,sc,tn,tx,ut,vt,va,wv,wi,vi
citrus Ṫaurantiifolia,fl,pr,vi
citrus Ṫaurantium,fl,ga,tx,pr,vi
citrus limetta,pr
citrus Ṫlimon,fl,pr
citrus Ṫlimonia,fl,pr
citrus medica,fl,pr
citrus reticulata,fl,pr
citrus Ṫsinensis,fl,la,pr,vi
cladium californicum,az,ca,nv,nm,ut
cladium mariscus,al,ar,fl,ga,hi,la,ms,nm,nc,sc,tx,va,pr
cladium mariscus ssp. jamaicense,al,ar,fl,ga,hi,la,ms,nm,nc,sc,tx,va,pr
cladoraphis,or
cladrastis kentukea,al,ar,ct,ga,il,in,ia,ky,la,me,ma,ms,mo,ny,nc,oh,ok,pa,ri,sc,tn,on
claoxylon,hi
claoxylon sandwicense,hi
clappia,nm,tx
clappia suaedifolia,nm,tx
clarkia,az,ca,ct,id,ma,mt,nv,oh,or,pa,sd,ut,vt,wa,wy,bc,qc
clarkia affinis,ca
clarkia amoena,ca,or,wa,bc,qc
clarkia amoena ssp. caurina,or,wa,bc
clarkia amoena ssp. huntiana,ca,or
clarkia amoena ssp. whitneyi,ca
clarkia arcuata,ca
clarkia australis,ca
clarkia borealis ssp. arida,ca
clarkia bottae,ca
clarkia breweri,ca
clarkia concinna,ca
clarkia concinna ssp. automixa,ca
clarkia concinna ssp. concinna,ca
clarkia concinna ssp. raichei,ca
clarkia cylindrica,ca
clarkia cylindrica ssp. clavicarpa,ca
clarkia cylindrica ssp. cylindrica,ca
clarkia davyi,ca
clarkia dudleyana,ca
clarkia exilis,ca
clarkia gracilis,ca,or,wa
clarkia gracilis ssp. gracilis,ca,or,wa
clarkia gracilis ssp. sonomensis,ca,or
clarkia gracilis ssp. tracyi,ca
clarkia imbricata,ca
clarkia jolonensis,ca
clarkia lewisii,ca
clarkia lingulata,ca
clarkia mildrediae ssp. lutescens,ca
clarkia mildrediae ssp. mildrediae,ca
clarkia modesta,ca
clarkia prostrata,ca
clarkia pulchella,ct,id,ma,mt,oh,or,sd,vt,wa,wy,bc
clarkia purpurea ssp. purpurea,ca,or
clarkia purpurea ssp. viminea,ca,or,wa
clarkia rostrata,ca
clarkia rubicunda,ca
clarkia similis,ca
clarkia speciosa,ca
clarkia speciosa ssp. nitens,ca
clarkia speciosa ssp. polyantha,ca
clarkia speciosa ssp. speciosa,ca
clarkia springvillensis,ca
clarkia tembloriensis,ca
clarkia tembloriensis ssp. calientensis,ca
clarkia tembloriensis ssp. tembloriensis,ca
clarkia virgata,ca
clarkia williamsonii,ca
clarkia xantiana,ca
clarkia xantiana ssp. parviflora,ca
clarkia xantiana ssp. xantiana,ca
claytonia,al,ak,az,ar,ca,co,ct,de,dc,ga,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nh,nj,nm,ny,nc,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,vt,va,wa,wv,wi,wy,ab,bc,nb,nf,nt,ns,on,pe,qc,sk,yt,fraspm
claytonia arctica,ak
claytonia arenicola,id,mt,or,wa
claytonia caroliniana,al,ar,ct,ga,in,ky,me,md,ma,mi,mn,nh,ny,nc,oh,pa,tn,vt,va,wv,wi,nb,nf,ns,on,pe,qc,fraspm
claytonia caroliniana var. caroliniana,al,ar,ct,ga,in,ky,me,md,ma,mi,mn,nh,ny,nc,oh,pa,tn,vt,va,wv,wi,nb,nf,ns,on,pe,qc,fraspm
claytonia caroliniana var. lewisii,nc,tn,wv
claytonia cordifolia,ca,id,mt,or,ut,wa,bc
claytonia eschscholtzii,ak
claytonia exigua,ca,id,nv,or,wa,bc
claytonia exigua ssp. exigua,ca,id,nv,or,wa,bc
claytonia exigua ssp. glauca,ca,bc
claytonia flava,mt,wy
claytonia gypsophiloides,ca
claytonia heterophylla,or
claytonia lanceolata,ca,co,id,mt,nv,nm,or,ut,wa,wy,ab,bc,sk
claytonia lanceolata var. chrysantha,wa
claytonia lanceolata var. lanceolata,ca,co,id,mt,nv,nm,or,ut,wa,wy,ab,bc,sk
claytonia megarhiza var. megarhiza,co,id,mt,nm,ut,wa,wy,ab,bc,nt,yt
claytonia multiscapa,co,id,mt,wa,wy,bc
claytonia ogilviensis,yt
claytonia palustris,ca
claytonia parviflora,az,ca,id,mt,nv,or,ut,wa,bc
claytonia parviflora ssp. grandiflora,ca
claytonia parviflora ssp. parviflora,az,ca,id,mt,nv,or,wa,bc
claytonia perfoliata,ak,az,ca,co,ga,id,mt,nv,nh,or,sd,ut,wa,wy,bc
claytonia perfoliata ssp. intermontana,az,ca,nv,or,ut,wa,wy,bc
claytonia perfoliata ssp. mexicana,az,ca
claytonia rubra ssp. depressa,az,ca,co,id,mt,nv,or,sd,ut,wa,bc
claytonia sibirica var. sibirica,ak,ca,id,ma,mt,or,wa,bc
claytonia tuberosa,ak,bc,nt,yt
claytonia tuberosa var. czukczorum,ak
claytonia umbellata,ca,nv,or,wy
claytonia virginica var. hammondiae,md,nj,pa
cleistes bifaria,al,fl,ga,ky,la,ms,nc,sc,tn,tx,va,wv
cleistes divaricata,de,fl,ga,md,nj,nc,sc,va
clematis albicoma,va,wv
clematis baldwinii var. baldwinii,fl
clematis baldwinii var. latiuscula,fl
clematis bigelovii,az,nm
clematis catesbyana,al,ar,fl,ga,ks,ky,la,ms,mo,nc,ok,sc,tn,va
clematis columbiana,az,co,id,mt,nm,nd,or,sd,tx,ut,wa,wy
clematis columbiana var. columbiana,az,co,id,mt,nm,or,tx,ut,wa,wy
clematis columbiana var. tenuiloba,co,mt,nd,sd,ut,wy
clematis crispa,al,ar,fl,ga,il,ky,la,ms,mo,nc,ok,sc,tn,tx,va
clematis dioica,pr
clematis drummondii,az,co,nm,ok,tx
clematis fremontii,ks,mo,ne
clematis hirsutissima var. arizonica,az,nm
clematis hirsutissima var. hirsutissima,az,co,id,mt,nm,or,sd,ut,wa,wy
clematis ligusticifolia,az,ca,co,id,ks,mt,ne,nv,nm,nd,ok,or,pa,sd,ut,wa,wy,ab,bc,mb,sk
clematis ligusticifolia var. ligusticifolia,az,ca,co,id,ks,mt,ne,nv,nm,nd,ok,or,pa,sd,ut,wa,wy,ab,bc,mb,sk
clematis morefieldii,al
clematis occidentalis,co,ct,de,id,il,ia,me,md,ma,mi,mn,mt,nh,nj,ny,nc,oh,or,pa,ri,ut,vt,va,wa,wv,wi,wy,ab,bc,nb,ns,on,qc,sk
clematis occidentalis var. dissecta,wa
clematis ochroleuca,ga,md,ny,nc,sc,va
clematis orientalis,co,id,nv,nm,ut,on
clematis palmeri,az,nm
clematis pitcheri,ar,il,in,ia,ks,ky,ms,mo,ne,nm,ok,tn,tx
clematis recta,nh,ny,on
clematis tangutica,ab,bc,mb,sk,yt
clematis terniflora,al,ar,ca,ct,de,dc,fl,ga,il,in,ks,ky,la,md,ma,mn,ms,mo,ne,nh,nj,ny,nc,oh,ok,pa,ri,sc,tn,tx,vt,va,wv,on
clematis texensis,tx
clematis viorna,al,ar,de,dc,ga,il,in,ky,md,ms,mo,nc,oh,pa,sc,tn,va,wv,on
clematis virginiana,al,ar,ct,de,dc,fl,ga,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,ne,nh,nj,ny,nc,nd,oh,ok,pa,ri,sc,sd,tn,tx,vt,va,wv,wi,mb,nb,ns,on,pe,qc
clematis viticella,ny,tn,on,qc
cleome,al,az,ar,ca,co,ct,de,dc,fl,ga,hi,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nj,nm,ny,nc,nd,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,va,wa,wv,wi,wy,pr,vi,ab,bc,mb,on,qc,sk
cleome aculeata,al,tx,pr,vi
cleome gynandra,al,ar,fl,ga,hi,la,ny,nc,ok,sc,tx,pr,vi
cleome iberica,ky
cleome lutea,az,ca,co,id,mt,ne,nv,nm,or,ut,wa,wy
cleome lutea var. jonesii,az
cleome lutea var. lutea,az,ca,co,id,mt,ne,nv,nm,or,ut,wa,wy
cleome multicaulis,az,co,nm,tx,wy
cleome ornithopodioides,md,pa
cleome serrulata,az,ca,co,ct,id,il,in,ia,ks,me,ma,mi,mn,mo,mt,ne,nv,nm,ny,nd,oh,ok,or,sd,tx,ut,wa,wi,wy,ab,bc,mb,on,qc,sk
cleome sparsifolia,ca,nv
cleome speciosa,fl,pr
cleome spinosa,fl,hi,pr,vi
cleome stenophylla,pr
cleome viscosa,al,fl,ga,la,md,nj,pa,va,pr,vi
cleomella,az,ca,co,id,ks,ne,nv,nm,ok,or,tx,ut
cleomella brevipes,ca,nv
cleomella hillmanii,ca,id,nv,or
cleomella longipes,az,nm,tx
cleomella macbrideana,id
cleomella palmeriana,co,nm,ut
clermontia,hi
clermontia arborescens ssp. arborescens,hi
clermontia calophylla,hi
clermontia carinifera,hi
clermontia clermontioides ssp. clermontioides,hi
clermontia drepanomorpha,hi
clermontia fulva,hi
clermontia grandiflora,hi
clermontia grandiflora ssp. grandiflora,hi
clermontia grandiflora ssp. maxima,hi
clermontia lindseyana,hi
clermontia micrantha,hi
clermontia montis-loa,hi
clermontia oblongifolia ssp. oblongifolia,hi
clermontia pallida,hi
clermontia parviflora,hi
clermontia peleana,hi
clermontia persicifolia,hi
clermontia pyrularia,hi
clermontia tuberculata,hi
clermontia waimeae,hi
clerodendrum glabrum,fl,hi
clerodendrum indicum,fl,ga,hi,la,ms,sc,tx,vi
clerodendrum japonicum,hi,md
clerodendrum kaempferi,fl
clerodendrum macrostegium,hi
clerodendrum speciosissimum,fl,pr,vi
clerodendrum Ṫspeciosum,fl,pr
clerodendrum trichotomum,fl,ga,la,nc,pa
clerodendrum trichotomum var. ferrugineum,fl,ga,la,nc,pa
clerodendrum umbellatum,fl
clethra acuminata,al,ga,ky,nc,pa,sc,tn,va,wv
cleyera japonica,fl
clibadium,pr,vi
clibadium erosum,pr,vi
clidemia,hi,pr,vi
clidemia cymosa,pr
clidemia hirta,hi,pr,vi
clidemia strigillosa,pr
cliftonia,al,fl,ga,la,ms,sc
cliftonia monophylla,al,fl,ga,la,ms,sc
clinopodium ascendens,va
clinopodium ashei,fl,ga
clinopodium dentatum,fl,ga
clinopodium douglasii,ak,ca,id,mt,or,wa,bc
clinopodium georgianum,al,fl,ga,la,ms,nc,sc
clinopodium glabellum,ky,tn,va,on
clinopodium mimuloides,ca
clinopodium vulgare,az,ar,co,ct,de,dc,il,in,ia,ks,ky,me,md,ma,mi,mn,mt,nh,nj,nm,ny,nc,oh,or,pa,ri,tn,ut,vt,va,wa,wv,wi,bc,nb,nf,ns,on,qc,fraspm
clintonia andrewsiana,ca,or
clintonia borealis,ct,ga,il,in,me,md,ma,mi,mn,nh,nj,ny,nc,oh,pa,ri,tn,vt,va,wv,wi,lb,mb,nb,nf,ns,on,pe,qc,fraspm
clintonia uniflora,ak,ca,id,mt,or,wa,ab,bc
clitoria fragrans,fl
clitoria laurifolia,pr
clitoria mariana,al,az,ar,de,dc,fl,ga,il,in,ia,ks,ky,la,md,mn,ms,mo,ne,nj,nm,ny,nc,oh,ok,pa,sc,tn,tx,va,wv,wi
clitoria ternatea,ca,fl,ga,hi,tx,pr,vi
clusia clusioides,pr
clusia minor,pr
clusia rosea,fl,hi,pr,vi
cnemidaria,pr
cneoridium,ca
cneoridium dumosum,ca
cnicus benedictus,al,az,ar,ca,ct,fl,ga,id,il,md,ma,ms,ny,nc,or,sc,tn,tx,ut,va,wa,wi,nb,ns,on
cnidium,ak,or,ab,bc,mb,nt,yt
cnidium cnidiifolium,ak,ab,bc,mb,nt,yt
cnidoscolus,al,az,ar,fl,ga,ks,ky,la,ms,nc,ok,sc,tx,va,pr
cnidoscolus aconitifolius,pr
cnidoscolus angustidens,az
cnidoscolus texanus,ar,ks,la,ok,tx
cnidoscolus urens,al,fl,ga,ky,la,ms,nc,sc,va
coccinia grandis,fl,hi,tx,vi
coccoloba costata,pr
coccoloba diversifolia,fl,pr,vi
coccoloba krugii,pr,vi
coccoloba microstachya,pr,vi
coccoloba pallida,pr
coccoloba pubescens,pr
coccoloba pyrifolia,pr,vi
coccoloba rugosa,pr,vi
coccoloba sintenisii,pr
coccoloba swartzii,pr,vi
coccoloba tenuifolia,pr
coccoloba uvifera,fl,hi,ms,pr,vi
coccoloba venosa,pr,vi
coccothrinax,fl,pr,vi
coccothrinax argentata,fl
coccothrinax barbadensis,pr,vi
cocculus,al,az,ar,fl,ga,hi,il,in,ks,ky,la,ms,mo,nc,ok,sc,tn,tx,va
cocculus carolinus,al,ar,fl,ga,il,in,ks,ky,la,ms,mo,nc,ok,sc,tn,tx,va
cocculus diversifolius,az,tx
cocculus laurifolius,fl
cochlearia officinalis,ak
cochlearia sessilifolia,ak
cochlidium,pr
cochlidium rostratum,pr
cochlidium seminudum,pr
cochlidium serrulatum,pr
cochlospermum,pr
cochlospermum vitifolium,pr
cocos,fl,hi,nc,pr,vi
cocos nucifera,fl,hi,nc,pr,vi
codariocalyx,pr
codariocalyx gyroides,pr
codiaeum,pr
coelorachis,al,ar,de,fl,ga,ks,la,md,ms,mo,nj,nc,ok,sc,tx,va
coelorachis cylindrica,al,ar,fl,ga,ks,la,ms,mo,nc,ok,sc,tx
coelorachis rugosa,al,ar,de,fl,ga,la,md,ms,nj,nc,sc,tx,va
coelorachis tessellata,al,fl,ga,la,ms
coelorachis tuberculosa,al,fl,ga
coffea,hi,pr,vi
coffea liberica,pr
coincya,ca,ky,md,mi,nj,ny,nc,pa
coincya monensis,ca,ky,md,mi,nj,ny,nc,pa
coix,hi,la,nj,ny,oh,pa,tn,pr,vi
coix lacryma-jobi,hi,la,nj,ny,oh,pa,tn,pr,vi
cojoba,fl,pr
cojoba arborea,pr
cola acuminata,pr
colchicum,ky,md,ma,nh,ny,nc,or,ut,vt
colchicum autumnale,ky,md,ma,nh,ny,nc,or,ut,vt
coleanthus,or,wa,bc
coleanthus subtilis,or,wa,bc
coleogyne,az,ca,co,nv,ut
